song_id,similarity
TRABACN128F425B784, 0.87173699999999998
TRIAINV12903CB4943, 0.751301
TRJYGLF12903CB4952, 0.75105200000000005
TRVNXHF128F93134F0, 0.58266200000000001
TRWJMMB128F429D550, 0.50866100000000003
TRUEULA128F425B7DB, 0.40453499999999998
TRIEUIZ128F427973B, 0.028357
TRWNLAW128F9364539, 0.0278891
TRWIMTU128F148D424, 0.022797600000000001
TRPTKMG128F930E997, 0.019805900000000001
TRQIPME12903CE0A48, 0.016187199999999999
TRAOGGC128F4215EB5, 0.015864900000000001
TROIDMT128F428ED1F, 0.015864400000000001
TRAKXGR128F428686F, 0.015671500000000001